Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FRS-mediated FGFR1 Signaling	4/23	0.016710329986692148	0.08933599492885416	0	0	4.606981370953156	18.850515540403407	GRB2;FGF1;FGF2;FGF4
Intrinsic Pathway of Fibrin Clot Formation	4/23	0.016710329986692148	0.08933599492885416	0	0	4.606981370953156	18.850515540403407	SERPINC1;C1QBP;SERPING1;GP1BA
PI-3K Cascade FGFR2	4/23	0.016710329986692148	0.08933599492885416	0	0	4.606981370953156	18.850515540403407	GRB2;FGF1;FGF2;FGF4
SHC-mediated Cascade FGFR2	4/23	0.016710329986692148	0.08933599492885416	0	0	4.606981370953156	18.850515540403407	GRB2;FGF1;FGF2;FGF4
p38MAPK Events	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	MAPK11;MAPK14;MAPK13
p75NTR Recruits Signalling Complexes	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	IKBKB;NGFR;MYD88
FGFR2c Ligand Binding and Activation	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	FGF1;FGF2;FGF4
FGFR3 Ligand Binding and Activation	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	FGF1;FGF2;FGF4
FGFR3c Ligand Binding and Activation	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	FGF1;FGF2;FGF4
Glutathione Synthesis and Recycling	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	GCLC;CHAC2;OPLAH
Phospholipase C-mediated Cascade; FGFR3	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	FGF1;FGF2;FGF4
TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors	3/13	0.017282316987165966	0.08963589780656975	0	0	6.560526315789474	26.623084471435767	CGA;ESR1;EGFR
Arachidonate Production From DAG	2/5	0.0175807585282584	0.08984284689073227	0	0	14.567619047619047	58.867023692946695	ABHD12;MGLL
FBXW7 Mutants and NOTCH1 in Cancer	2/5	0.0175807585282584	0.08984284689073227	0	0	14.567619047619047	58.867023692946695	RBX1;SKP1
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling	2/5	0.0175807585282584	0.08984284689073227	0	0	14.567619047619047	58.867023692946695	RBX1;SKP1
NGF-independant TRKA Activation	2/5	0.0175807585282584	0.08984284689073227	0	0	14.567619047619047	58.867023692946695	NTRK1;NTRK2
IRS-mediated Signalling	6/48	0.0178555253297739	0.0909127480160649	0	0	3.1295719206166965	12.597911116192678	PDPK1;GRB2;GAB2;FGF1;FGF2;FGF4
Metabolism of Steroids	13/155	0.01903167648654607	0.09638019127231029	0	0	2.011223591549296	7.9677649561657455	MED1;AKR1C1;AKR1D1;AKR1C3;AKR1B1;AKR1C2;AKR1C4;POMC;SQLE;TGS1;ALB;CGA;PPARA
Post-translational Protein Phosphorylation	10/107	0.019068023453154913	0.09638019127231029	0	0	2.2623336781650196	8.958258841003179	APP;FGA;IL6;VCAN;IGFBP4;SERPINC1;IGFBP3;ALB;FGG;IGFBP7
EPH-Ephrin Signaling	9/92	0.019471833525697556	0.09806466884318696	0	0	2.3785464438398756	9.368586128341665	EPHA4;TIAM1;NCSTN;EPHA8;PSEN2;PSEN1;GRIN2B;EPHA3;GRIN1
Signaling by High-Kinase Activity BRAF Mutants	5/36	0.019568254230094423	0.09819448873585289	0	0	3.5313702278780705	13.89186914562104	FGB;FGA;ITGB3;FGG;MAPK3
MAP Kinase Activation	7/63	0.019970478827961238	0.09949450025400043	0	0	2.7395114942528735	10.721078655952214	IKBKB;RPS6KA3;MAPK11;MAPK14;NFKB1;SKP1;MAPK3
NCAM Signaling for Neurite Out-Growth	7/63	0.019970478827961238	0.09949450025400043	0	0	2.7395114942528735	10.721078655952214	CACNB1;NCAN;CNTN2;CACNA1D;GRB2;CACNA1S;MAPK3
Signaling by VEGF	10/108	0.020218789946223795	0.10037185009018242	0	0	2.2391309464962457	8.735169820025407	CDH5;MAPK11;FLT1;PDPK1;ITGB3;VEGFC;ITGAV;MAPK14;BCAR1;MAPK13
FGFR1c Ligand Binding and Activation	3/14	0.021291236765287578	0.10347838847464941	0	0	5.963802787601415	22.957418551601318	FGF1;FGF2;FGF4
FGFR4 Ligand Binding and Activation	3/14	0.021291236765287578	0.10347838847464941	0	0	5.963802787601415	22.957418551601318	FGF1;FGF2;FGF4
Glutamate and Glutamine Metabolism	3/14	0.021291236765287578	0.10347838847464941	0	0	5.963802787601415	22.957418551601318	GLUD2;OAT;PYCR1
Nucleotide Biosynthesis	3/14	0.021291236765287578	0.10347838847464941	0	0	5.963802787601415	22.957418551601318	PPAT;GMPS;PAICS
Regulation of TP53 Activity Through Association With Co-factors	3/14	0.021291236765287578	0.10347838847464941	0	0	5.963802787601415	22.957418551601318	TP53;TP63;TP73
TP53 Regulates Transcription of Cell Death Genes With Uncertain Role in P53-Dependent Apoptosis	3/14	0.021291236765287578	0.10347838847464941	0	0	5.963802787601415	22.957418551601318	TP53;TP63;TP73
Collagen Degradation	7/64	0.021603699763256993	0.10463115913215058	0	0	2.6913087315991127	10.320874808477653	MMP11;CTSL;PHYKPL;CTSK;CTSD;ELANE;CTSB
Glutathione Conjugation	5/37	0.021833262998410014	0.1050111957362973	0	0	3.4208357224770642	13.082372681620708	GCLC;GSTP1;AKR1A1;CHAC2;OPLAH
NOD1 2 Signaling Pathway	5/37	0.021833262998410014	0.1050111957362973	0	0	3.4208357224770642	13.082372681620708	IKBKB;CYLD;MAPK11;MAPK14;MAPK13
Basigin Interactions	4/25	0.022283080770247907	0.10535198051239657	0	0	4.167784868815796	15.853951886417276	ITGB1;PPIL2;ITGA6;L1CAM
Downstream Signaling of Activated FGFR3	4/25	0.022283080770247907	0.10535198051239657	0	0	4.167784868815796	15.853951886417276	GRB2;FGF1;FGF2;FGF4
FRS-mediated FGFR2 Signaling	4/25	0.022283080770247907	0.10535198051239657	0	0	4.167784868815796	15.853951886417276	GRB2;FGF1;FGF2;FGF4
NOTCH2 Activation and Transmission of Signal to the Nucleus	4/25	0.022283080770247907	0.10535198051239657	0	0	4.167784868815796	15.853951886417276	NCSTN;PSEN2;CNTN1;PSEN1
Signaling by NTRK2 (TRKB)	4/25	0.022283080770247907	0.10535198051239657	0	0	4.167784868815796	15.853951886417276	NTRK2;TIAM1;GRB2;GRIN2B
PIP3 Activates AKT Signaling	20/281	0.0233122618405201	0.10984421680787436	0	0	1.6865390719653786	6.3393222453875095	NTRK2;PDPK1;NTRK3;XIAP;GAB2;IL1RAP;FGF1;FGF2;ESR1;EGFR;FGF4;IL1RL1;ERBB3;CD19;AKT1S1;GRB2;PPARG;TP53;MYD88;MAPK3
Signaling by TGFB Family Members	13/161	0.025123546963296974	0.11741526369291964	0	0	1.929077515015015	7.106624622576286	ITGB1;ITGB5;ITGB3;PSEN2;PSEN1;FGF2;SMAD5;NCSTN;ITGB8;ITGAV;ITGB6;E2F4;MAPK3
Signaling by ERBB2 in Cancer	4/26	0.0254454558192595	0.11741526369291964	0	0	3.9781318338019367	14.60458961312171	ERBB3;GRB2;PTPN12;EGFR
IRS-related Events Triggered by IGF1R	6/52	0.02559523937396629	0.11741526369291964	0	0	2.8568362202366098	10.471301516591291	PDPK1;GRB2;GAB2;FGF1;FGF2;FGF4
Activated NTRK2 Signals Through CDK5	2/6	0.025610568130125834	0.11741526369291964	0	0	10.925142857142857	40.037919417202176	NTRK2;TIAM1
Activation of TRKA Receptors	2/6	0.025610568130125834	0.11741526369291964	0	0	10.925142857142857	40.037919417202176	NTRK1;NTRK2
Biosynthesis of EPA-derived SPMs	2/6	0.025610568130125834	0.11741526369291964	0	0	10.925142857142857	40.037919417202176	ALOX5;PTGS2
CLEC7A Inflammasome Pathway	2/6	0.025610568130125834	0.11741526369291964	0	0	10.925142857142857	40.037919417202176	IL1B;NFKB1
RUNX1 Regulates Transcription of Genes Involved in WNT Signaling	2/6	0.025610568130125834	0.11741526369291964	0	0	10.925142857142857	40.037919417202176	RSPO3;ESR1
Phospholipase C-mediated Cascade; FGFR4	3/15	0.025763780882259345	0.11741526369291964	0	0	5.466533180778032	20.00087296649709	FGF1;FGF2;FGF4
Prolactin Receptor Signaling	3/15	0.025763780882259345	0.11741526369291964	0	0	5.466533180778032	20.00087296649709	PRLR;RBX1;SKP1
Transport of Small Molecules	43/724	0.027298623546010477	0.1240035514018123	0	0	1.3962504005606087	5.027784592816564	SLC22A6;SLC1A1;SLC1A2;CLCNKA;HBB;SLC1A4;SLC6A2;PCSK5;SLC2A6;SLC6A3;CA1;MB;CA2;ATP6V0A2;CSN1S1;TRPM8;TRPM5;SLC36A4;ASIC3;CLCA4;SKP1;TRPM4;SLC12A2;SLC35A1;SLC15A1;TRPC6;TRPA1;SLC32A1;NIPA1;NGB;TRPV3;TRPV1;SLC2A9;ANO1;SLC25A18;FXYD3;ALB;ANGPTL3;GNAS;ANGPTL4;SLC29A1;CFTR;SLC29A2
IGF1R Signaling Cascade	6/53	0.02783021752666029	0.12600652235197982	0	0	2.7959059041942496	10.013908536005877	PDPK1;GRB2;GAB2;FGF1;FGF2;FGF4
Acyl Chain Remodelling of PC	4/27	0.02886407000404393	0.1285931323898111	0	0	3.804970367050152	13.489220032302542	PLA2G12A;PLA2G2E;PLA2G2A;PLA2G6
Downstream Signaling of Activated FGFR4	4/27	0.02886407000404393	0.1285931323898111	0	0	3.804970367050152	13.489220032302542	GRB2;FGF1;FGF2;FGF4
Effects of PIP2 Hydrolysis	4/27	0.02886407000404393	0.1285931323898111	0	0	3.804970367050152	13.489220032302542	ABHD12;DGKE;TRPC6;MGLL
Interleukin Receptor SHC Signaling	4/27	0.02886407000404393	0.1285931323898111	0	0	3.804970367050152	13.489220032302542	CSF2RB;GRB2;GAB2;CSF2RA
Pyroptosis	4/27	0.02886407000404393	0.1285931323898111	0	0	3.804970367050152	13.489220032302542	IL1B;TP53;ELANE;TP63
MAP2K and MAPK Activation	5/40	0.029623747140394317	0.13113696982531242	0	0	3.127129750982962	11.004929259375032	FGB;FGA;ITGB3;FGG;MAPK3
Signaling by FGFR3	5/40	0.029623747140394317	0.13113696982531242	0	0	3.127129750982962	11.004929259375032	GRB2;FGF1;FGF2;FGF4;MAPK3
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	6/54	0.030190248683921766	0.13322046244651192	0	0	2.7375143513203213	9.581947098794949	PDPK1;GRB2;GAB2;FGF1;FGF2;FGF4
MAP3K8 (TPL2)-dependent MAPK1 3 Activation	3/16	0.03069872219525532	0.13376559201067365	0	0	5.045766590389016	17.577100722812194	IKBKB;NFKB1;SKP1
PI3K Events in ERBB2 Signaling	3/16	0.03069872219525532	0.13376559201067365	0	0	5.045766590389016	17.577100722812194	ERBB3;GRB2;EGFR
Phospholipase C-mediated Cascade FGFR1	3/16	0.03069872219525532	0.13376559201067365	0	0	5.045766590389016	17.577100722812194	FGF1;FGF2;FGF4
Signaling by FLT3 ITD and TKD Mutants	3/16	0.03069872219525532	0.13376559201067365	0	0	5.045766590389016	17.577100722812194	GRB2;GAB2;BCL2L1
Signaling by FGFR4	5/41	0.03256290151750098	0.14100446451503537	0	0	3.040105759429154	10.411090333571346	GRB2;FGF1;FGF2;FGF4;MAPK3
Signaling by RAF1 Mutants	5/41	0.03256290151750098	0.14100446451503537	0	0	3.040105759429154	10.411090333571346	FGB;FGA;ITGB3;FGG;MAPK3
Cellular Response to Chemical Stress	15/202	0.03291979343763164	0.14210718285188814	0	0	1.7621003263148753	6.015248717459675	MED1;PRKAA2;GSTP1;HM13;HBB;NFKB1;RBX1;GCLC;TGS1;ALB;BCL2;NLRP3;PPARA;SKP1;BCL2L1
Activated NTRK2 Signals Through FYN	2/7	0.03482465522185528	0.1480314090470301	0	0	8.739657142857142	29.342784106783547	NTRK2;GRIN2B
Activated NTRK2 Signals Through PI3K	2/7	0.03482465522185528	0.1480314090470301	0	0	8.739657142857142	29.342784106783547	NTRK2;GRB2
Interleukin-36 Pathway	2/7	0.03482465522185528	0.1480314090470301	0	0	8.739657142857142	29.342784106783547	IL1RL2;IL1RAP
Neurofascin Interactions	2/7	0.03482465522185528	0.1480314090470301	0	0	8.739657142857142	29.342784106783547	NFASC;CNTN1
STAT5 Activation	2/7	0.03482465522185528	0.1480314090470301	0	0	8.739657142857142	29.342784106783547	GRB2;GAB2
Translocation of SLC2A4 (GLUT4) to the Plasma Membrane	7/71	0.03567568493149395	0.15020321187614838	0	0	2.3960668103448275	7.986775754161297	PRKAB2;PRKAA2;TUBB1;PRKAG1;PRKAG2;PRKAB1;PRKAG3
tRNA Aminoacylation	5/42	0.03567751046239574	0.15020321187614838	0	0	2.957785767418795	9.858994296333053	PARS2;NARS2;TARS2;EARS2;WARS2
NCAM1 Interactions	5/42	0.03567751046239574	0.15020321187614838	0	0	2.957785767418795	9.858994296333053	CACNB1;NCAN;CNTN2;CACNA1D;CACNA1S
Activated Point Mutants of FGFR2	3/17	0.03609199479613925	0.15020321187614838	0	0	4.6851095129127165	15.562454192930797	FGF1;FGF2;FGF4
Acyl Chain Remodelling of PI	3/17	0.03609199479613925	0.15020321187614838	0	0	4.6851095129127165	15.562454192930797	PLA2G12A;PLA2G2E;PLA2G2A
Biosynthesis of DHA-derived SPMs	3/17	0.03609199479613925	0.15020321187614838	0	0	4.6851095129127165	15.562454192930797	ALOX5;CYP1A2;PTGS2
Hyaluronan Metabolism	3/17	0.03609199479613925	0.15020321187614838	0	0	4.6851095129127165	15.562454192930797	STAB2;HMMR;CD44
Acyl Chain Remodelling of PE	4/29	0.0364810371795026	0.15136907964032423	0	0	3.50020618556701	11.58905206225387	PLA2G12A;PLA2G2E;PLA2G2A;PLA2G6
Interleukin-17 Signaling	7/72	0.03808464774040182	0.15755256059273373	0	0	2.359080459770115	7.709342891821314	IKBKB;RPS6KA3;MAPK11;MAPK14;NFKB1;SKP1;MAPK3
Activation of BH3-only Proteins	4/30	0.04068261934383693	0.16730426298205128	0	0	3.3654066437571593	10.775878344535032	BCL2;TP53;TP63;TP73
Downstream Signaling of Activated FGFR2	4/30	0.04068261934383693	0.16730426298205128	0	0	3.3654066437571593	10.775878344535032	GRB2;FGF1;FGF2;FGF4
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	28/451	0.04144211378026029	0.16847536909931954	0	0	1.4579800460561305	4.641417766332488	ITGB3;PSEN2;PSEN1;FGF1;FGF2;EGFR;FGF4;NCSTN;ERBB3;CD19;LRRFIP1;SKP1;MAPK3;FGB;NTRK2;FGA;PDPK1;NTRK3;FGG;PTPN12;GAB2;KREMEN2;ESR1;RBX1;AKT1S1;GRB2;TP53;BCL2L1
Acyl Chain Remodelling of PG	3/18	0.041937034322564425	0.16847536909931954	0	0	4.37254004576659	13.86788665539334	PLA2G12A;PLA2G2E;PLA2G2A
FGFR1 Ligand Binding and Activation	3/18	0.041937034322564425	0.16847536909931954	0	0	4.37254004576659	13.86788665539334	FGF1;FGF2;FGF4
Metabolism of Amine-Derived Hormones	3/18	0.041937034322564425	0.16847536909931954	0	0	4.37254004576659	13.86788665539334	TPO;CGA;DUOX2
Phospholipase C-mediated Cascade; FGFR2	3/18	0.041937034322564425	0.16847536909931954	0	0	4.37254004576659	13.86788665539334	FGF1;FGF2;FGF4
RORA Activates Gene Expression	3/18	0.041937034322564425	0.16847536909931954	0	0	4.37254004576659	13.86788665539334	MED1;TGS1;PPARA
Regulation of NF-kappa B Signaling	3/18	0.041937034322564425	0.16847536909931954	0	0	4.37254004576659	13.86788665539334	IKBIP;IKBKB;TP53
Signaling by Cytosolic FGFR1 Fusion Mutants	3/18	0.041937034322564425	0.16847536909931954	0	0	4.37254004576659	13.86788665539334	GRB2;GAB2;LRRFIP1
TP53 Regulates Transcription of Cell Death Genes	5/44	0.042440673916399024	0.1700073105008491	0	0	2.805810397553517	8.865373452556293	IGFBP3;TNFRSF10A;TP53;TP63;TP73
Activated NTRK3 Signals Through RAS	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	NTRK3;GRB2
Biosynthesis of Maresins	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	ALOX5;CYP1A2
Cross-presentation of Particulate Exogenous Antigens (Phagosomes)	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	ITGB5;ITGAV
Defective CHST14 Causes EDS, Musculocontractural Type	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	VCAN;NCAN
Defective CHST3 Causes SEDCJD	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	VCAN;NCAN
Defective CHSY1 Causes TPBS	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	VCAN;NCAN
FGFR1b Ligand Binding and Activation	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	FGF1;FGF2
Histidine Catabolism	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	HNMT;FTCD
VEGF Binds to VEGFR Leading to Receptor Dimerization	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	FLT1;VEGFC
VEGF Ligand-Receptor Interactions	2/8	0.04510396228058065	0.17431743718995169	0	0	7.282666666666667	22.567419544008725	FLT1;VEGFC
Activated NOTCH1 Transmits Signal to the Nucleus	4/31	0.045146962149915544	0.17431743718995169	0	0	3.2405922531924825	10.038811304084968	NCSTN;PSEN2;CNTN1;PSEN1
Downstream Signaling of Activated FGFR1	4/31	0.045146962149915544	0.17431743718995169	0	0	3.2405922531924825	10.038811304084968	GRB2;FGF1;FGF2;FGF4
MAPK Targets Nuclear Events Mediated by MAP Kinases	4/31	0.045146962149915544	0.17431743718995169	0	0	3.2405922531924825	10.038811304084968	RPS6KA3;MAPK11;MAPK14;MAPK3
DAP12 Interactions	5/45	0.04609205143534893	0.17552863423324663	0	0	2.735521788990826	8.41751448388226	HLA-B;HLA-C;GRB2;TREM1;HLA-E
Paradoxical Activation of RAF Signaling by Kinase Inactive BRAF	5/45	0.04609205143534893	0.17552863423324663	0	0	2.735521788990826	8.41751448388226	FGB;FGA;ITGB3;FGG;MAPK3
Signaling by RAS Mutants	5/45	0.04609205143534893	0.17552863423324663	0	0	2.735521788990826	8.41751448388226	FGB;FGA;ITGB3;FGG;MAPK3
Signaling by Moderate Kinase Activity BRAF Mutants	5/45	0.04609205143534893	0.17552863423324663	0	0	2.735521788990826	8.41751448388226	FGB;FGA;ITGB3;FGG;MAPK3
Signaling Downstream of RAS Mutants	5/45	0.04609205143534893	0.17552863423324663	0	0	2.735521788990826	8.41751448388226	FGB;FGA;ITGB3;FGG;MAPK3
Fatty Acid Metabolism	13/176	0.046459375837659404	0.1764440776348267	0	0	1.7501704158145877	5.371582762028301	FAAH;PRKAB2;PRKAA2;HBG1;AKR1C3;PRKAG2;PTGS2;PTGR2;PTGS1;ALOX5;CYP1A2;THRSP;PPARD
Integration of Energy Metabolism	9/108	0.047734551708193185	0.18079298875855185	0	0	1.9924591537494762	6.06125957088656	CHRM3;PRKAB2;PRKAA2;GCGR;ADIPOQ;GNAS;CACNA2D2;PRKAG2;CACNA1D
Assembly of Active LPL and LIPC Lipase Complexes	3/19	0.048225090029953274	0.18116993281522986	0	0	4.09904176201373	12.42778573999571	ANGPTL3;ANGPTL4;PCSK5
Biosynthesis of Specialized Proresolving Mediators (SPMs)	3/19	0.048225090029953274	0.18116993281522986	0	0	4.09904176201373	12.42778573999571	ALOX5;CYP1A2;PTGS2
GABA Synthesis, Release, Reuptake and Degradation	3/19	0.048225090029953274	0.18116993281522986	0	0	4.09904176201373	12.42778573999571	SLC32A1;GAD1;ABAT
Cell Death Signalling via NRAGE, NRIF and NADE	7/76	0.04877503066788097	0.1827420286478559	0	0	2.221855738797268	6.711196942699111	NET1;TIAM1;NGFR;NCSTN;PSEN2;PSEN1;ITGB3BP
SARS-CoV Infections	30/498	0.049707861576478746	0.1857363644927566	0	0	1.4118457300275482	4.2377850994764765	ITGB1;NR3C1;IKBKB;GJA1;RPS19;CTSL;NLRP3;GOLGA7;IL6R;NUP210;ITGA4;IL1R1;PDPK1;SIGMAR1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;NFKB1;RBX1;HLA-E;NFKBIA;ACE2;ANO1;RPS28;FXYD3;GRB2;MASP2;BCL2L1
Assembly of Collagen Fibrils and Other Multimeric Structures	6/61	0.05037143325305475	0.18720933749129975	0	0	2.38822669867446	7.136812034225546	CTSL;PXDN;ITGA6;CTSV;CTSS;CTSB
Regulated Necrosis	6/61	0.05037143325305475	0.18720933749129975	0	0	2.38822669867446	7.136812034225546	IL1B;XIAP;TNFRSF10A;TP53;TP63;ELANE
Adipogenesis	9/110	0.052547329553790705	0.1947754348793842	0	0	1.9527991969703882	5.753026499422875	MED1;TGS1;LEP;ADIPOQ;PPARG;ANGPTL4;PPARA;TNF;NFKB1
Cyclin D Associated Events in G1	5/47	0.05393858715700488	0.19775058088127398	0	0	2.6049858016601135	7.606321889547215	E2F2;E2F3;E2F4;CKS1B;SKP1
G1 Phase	5/47	0.05393858715700488	0.19775058088127398	0	0	2.6049858016601135	7.606321889547215	E2F2;E2F3;E2F4;CKS1B;SKP1
Heme Signaling	5/47	0.05393858715700488	0.19775058088127398	0	0	2.6049858016601135	7.606321889547215	MED1;TGS1;HBB;LY96;PPARA
Signaling by TGF-beta Receptor Complex	8/94	0.05411902290916793	0.19775058088127398	0	0	2.0378408756389326	5.943504604870617	ITGB1;ITGB5;ITGB3;ITGB8;ITGAV;ITGB6;E2F4;MAPK3
Cargo Concentration in the ER	4/33	0.05486106488737924	0.19775058088127398	0	0	3.0167871390765097	8.75758639658073	GRIA1;LMAN2L;CTSZ;CD59
TNFR1-induced NF-kappa-B Signaling Pathway	4/33	0.05486106488737924	0.19775058088127398	0	0	3.0167871390765097	8.75758639658073	IKBKB;CYLD;XIAP;TNF
Apoptotic Factor-Mediated Response	3/20	0.0549455106433379	0.19775058088127398	0	0	3.8577197469376765	11.192839383013073	C1QBP;XIAP;MAPK3
FGFR2 Ligand Binding and Activation	3/20	0.0549455106433379	0.19775058088127398	0	0	3.8577197469376765	11.192839383013073	FGF1;FGF2;FGF4
Ras Activation Upon Ca2+ Influx Through NMDA Receptor	3/20	0.0549455106433379	0.19775058088127398	0	0	3.8577197469376765	11.192839383013073	GRIN2B;GRIN1;GRIN2D
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	3/20	0.0549455106433379	0.19775058088127398	0	0	3.8577197469376765	11.192839383013073	TP53;TP63;TP73
RHO GTPase Effectors	19/291	0.05521161119828093	0.19775058088127398	0	0	1.5347293637734813	4.445469450014764	ITGB1;PDPK1;IQGAP2;MAPK14;MYLK;AR;MAPK11;KLC3;APITD1;KLC2;FMNL2;TUBB1;CENPL;GRB2;PPP1R12B;BUB1;CFTR;ITGB3BP;MAPK3
Activated NTRK2 Signals Through RAS	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	NTRK2;GRB2
Axonal Growth Inhibition (RHOA Activation)	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	RTN4R;NGFR
BH3-only Proteins Associate With and Inactivate Anti-Apoptotic BCL-2 Members	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	BCL2;BCL2L1
CD163 Mediating an Anti-Inflammatory Response	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	IL6;MAPK14
CHL1 Interactions	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	ITGB1;CNTN6
Ca2+ Activated K+ Channels	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	KCNMA1;KCNN3
EGFR Transactivation by Gastrin	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	GRB2;EGFR
Formyl Peptide Receptors Bind Formyl Peptides and Many Other Ligands	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	APP;ANXA1
MAPK1 (ERK2) Activation	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	IL6;IL6R
Small Interfering RNA (siRNA) Biogenesis	2/9	0.0563375755604205	0.19775058088127398	0	0	6.24195918367347	17.954331133760043	PRKRA;TARBP2
Signaling by FGFR in Disease	6/63	0.05735462541246759	0.20014530981069642	0	0	2.304187564203275	6.586524268258169	GRB2;LRRFIP1;GAB2;FGF1;FGF2;FGF4
Transcriptional Regulation by MECP2	6/63	0.05735462541246759	0.20014530981069642	0	0	2.304187564203275	6.586524268258169	GRIN2A;GAD1;OPRK1;PPARG;OPRM1;GRIN2B
Formation of the Cornified Envelope	10/129	0.05745178317587617	0.20014530981069642	0	0	1.8419547749895806	5.262113414266414	CELA2A;CAPNS1;KRT27;KRT24;KAZN;KRT7;KRT77;CAPN1;KRT75;KLK8
Cellular Responses to Stress	44/787	0.05899091159520222	0.20499341779332772	0	0	1.3066653310045417	3.698348819509036	PRKAA2;CXCL8;EPO;GSTP1;HM13;LY96;HBB;NR3C1;ANAPC11;RPS6KA3;C19ORF10;RPS19;TGS1;TUBB1;E2F2;NLRP3;E2F3;IGFBP7;GATSL2;SKP1;MAPK3;EGLN1;MED1;GATSL3;NUP210;HSPA5;GFPT1;ASNS;MAPK14;ESR1;NFKB1;RBX1;AR;MAPK11;GCLC;IL6;RPS28;ALB;AKT1S1;BCL2;PGR;PPARA;TP53;BCL2L1
Late Endosomal Microautophagy	4/34	0.06010746495566497	0.20783426937406546	0	0	2.9160748377243224	8.198897940214808	HBB;PLIN3;PLIN2;CFTR
Plasma Lipoprotein Remodeling	4/34	0.06010746495566497	0.20783426937406546	0	0	2.9160748377243224	8.198897940214808	ALB;ANGPTL3;ANGPTL4;PCSK5
Ion Channel Transport	13/184	0.061900155295202826	0.21350177632836706	0	0	1.667587177821096	4.639615393611983	TRPC6;TRPA1;CLCNKA;TRPV3;TRPV1;ANO1;FXYD3;ATP6V0A2;TRPM8;TRPM5;ASIC3;CLCA4;TRPM4
Signaling by NOTCH3	5/49	0.06251138995811395	0.21507631693509502	0	0	2.486316722268557	6.8930806406665175	NCSTN;PSEN2;TACC3;PSEN1;EGFR
Cellular Senescence	12/167	0.06408951898358613	0.21996155898070302	0	0	1.697676673503636	4.664323265834358	RPS6KA3;MAPK11;IL6;CXCL8;E2F2;IGFBP7;E2F3;MAPK14;TP53;NFKB1;ANAPC11;MAPK3
Senescence-Associated Secretory Phenotype (SASP)	7/81	0.06458115364730165	0.22110296445751057	0	0	2.0711867039453247	5.67470495563989	RPS6KA3;IL6;CXCL8;IGFBP7;NFKB1;ANAPC11;MAPK3
Mitochondrial Protein Import	6/65	0.06488952200201079	0.22161286383979115	0	0	2.225845998170815	6.087842648032514	DNAJC19;GRPEL1;PAM16;SLC25A12;TOMM5;SLC25A13
Oncogene Induced Senescence	4/35	0.06560998719858929	0.2235242210932331	0	0	2.821860104201308	7.6868241038038025	E2F2;E2F3;TP53;MAPK3
Regulation of TNFR1 Signaling	5/50	0.06706924439370762	0.2279370408490308	0	0	2.4309378185524975	6.568466172109958	IKBKB;CYLD;SPPL2B;XIAP;TNF
p75NTR Regulates Axonogenesis	2/10	0.06842224122790065	0.2280741374263355	0	0	5.461428571428572	14.647864603583724	RTN4R;NGFR
FGFR2b Ligand Binding and Activation	2/10	0.06842224122790065	0.2280741374263355	0	0	5.461428571428572	14.647864603583724	FGF1;FGF2
